"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","adminCanCreateUserWithCorrectDataTest()","","Mon Dec 01 14:28:40 UTC 2025","skipped","Mon Dec 01 14:28:40 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataTest"
"","1261","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 5000 deposit","","Mon Dec 01 14:28:41 UTC 2025","passed","Mon Dec 01 14:28:42 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","6","userDepositMoneyWithinValidAccountTest()","","Mon Dec 01 14:28:37 UTC 2025","skipped","Mon Dec 01 14:28:37 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithinValidAccountTest"
"","0","transferMoneywithAmountMoreThanBalanceTest()","","Mon Dec 01 14:28:42 UTC 2025","skipped","Mon Dec 01 14:28:42 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneywithAmountMoreThanBalanceTest"
"","288","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without lowercase","","Mon Dec 01 14:28:41 UTC 2025","passed","Mon Dec 01 14:28:42 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","316","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without special symbol","","Mon Dec 01 14:28:41 UTC 2025","passed","Mon Dec 01 14:28:42 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","2416","adminCanGenerateAuthTokenTest()","","Mon Dec 01 14:28:37 UTC 2025","passed","Mon Dec 01 14:28:39 UTC 2025","","API.iteration1.LoginUserTest","API.iteration1.LoginUserTest","adminCanGenerateAuthTokenTest"
"","4823","transferMoneyBetweenDifferentUsersAccounts()","","Mon Dec 01 14:28:37 UTC 2025","passed","Mon Dec 01 14:28:42 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyBetweenDifferentUsersAccounts"
"","0","transferMoneyFromInvalidAccountTest()","","Mon Dec 01 14:28:42 UTC 2025","skipped","Mon Dec 01 14:28:42 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyFromInvalidAccountTest"
"","0","testTransferWithFraudCheck()","","Mon Dec 01 14:28:37 UTC 2025","skipped","Mon Dec 01 14:28:37 UTC 2025","","API.TransferWithFraudCheckTest","API.TransferWithFraudCheckTest","testTransferWithFraudCheck"
"","0","transferMoneyToInvalidAccountTest()","","Mon Dec 01 14:28:42 UTC 2025","skipped","Mon Dec 01 14:28:42 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyToInvalidAccountTest"
"","1323","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 0.01 deposit","","Mon Dec 01 14:28:41 UTC 2025","passed","Mon Dec 01 14:28:43 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","339","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without uppercase","","Mon Dec 01 14:28:42 UTC 2025","passed","Mon Dec 01 14:28:42 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","2760","createUserAccountTest()","","Mon Dec 01 14:28:38 UTC 2025","passed","Mon Dec 01 14:28:40 UTC 2025","","API.iteration1.CreateAccountTest","API.iteration1.CreateAccountTest","createUserAccountTest"
"","2974","adminCanCreateUserWithCorrectDataButWithExistedUsernameTest()","","Mon Dec 01 14:28:37 UTC 2025","passed","Mon Dec 01 14:28:40 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCanCreateUserWithCorrectDataButWithExistedUsernameTest"
"","3610","changeUsersNameTest()","","Mon Dec 01 14:28:37 UTC 2025","passed","Mon Dec 01 14:28:40 UTC 2025","","API.iteration2.ChangeAccountNameTest","API.iteration2.ChangeAccountNameTest","changeUsersNameTest"
"","247","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) password without digits","","Mon Dec 01 14:28:42 UTC 2025","passed","Mon Dec 01 14:28:42 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","357","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) invalid symbol in username","","Mon Dec 01 14:28:41 UTC 2025","passed","Mon Dec 01 14:28:42 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","733","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 2 letters username","","Mon Dec 01 14:28:40 UTC 2025","passed","Mon Dec 01 14:28:41 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","771","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 16 letters username","","Mon Dec 01 14:28:40 UTC 2025","passed","Mon Dec 01 14:28:41 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","254","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) space in username","","Mon Dec 01 14:28:41 UTC 2025","passed","Mon Dec 01 14:28:41 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","0","userDepositMoneyWithinValidBalanceDataTest(String, Double, String)","","Mon Dec 01 14:28:41 UTC 2025","skipped","Mon Dec 01 14:28:41 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithinValidBalanceDataTest"
"","0","changeUsersNameWithInvalidDataTest(String, String, String)","","Mon Dec 01 14:28:40 UTC 2025","skipped","Mon Dec 01 14:28:40 UTC 2025","","API.iteration2.ChangeAccountNameTest","API.iteration2.ChangeAccountNameTest","changeUsersNameWithInvalidDataTest"
"","323","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) 7 characters password","","Mon Dec 01 14:28:42 UTC 2025","passed","Mon Dec 01 14:28:42 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","3892","userDepositMoneyWithValidDatawith2DepositsTest()","","Mon Dec 01 14:28:37 UTC 2025","passed","Mon Dec 01 14:28:41 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDatawith2DepositsTest"
"","1257","transferMoneyBetweenUsersAccountsTest()","","Mon Dec 01 14:28:42 UTC 2025","passed","Mon Dec 01 14:28:43 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneyBetweenUsersAccountsTest"
"","1378","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) empty password","","Mon Dec 01 14:28:40 UTC 2025","passed","Mon Dec 01 14:28:41 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","804","userCanGenerateAuthTokenTest()","","Mon Dec 01 14:28:39 UTC 2025","passed","Mon Dec 01 14:28:40 UTC 2025","","API.iteration1.LoginUserTest","API.iteration1.LoginUserTest","userCanGenerateAuthTokenTest"
"","283","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) invalid role","","Mon Dec 01 14:28:41 UTC 2025","passed","Mon Dec 01 14:28:41 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
"","953","userDepositMoneyWithValidDataTest(String, Double) userDepositMoneyWithValidDataTest(String, Double) 4999.99 deposit","","Mon Dec 01 14:28:42 UTC 2025","passed","Mon Dec 01 14:28:43 UTC 2025","","API.iteration2.DepositMoneyTest","API.iteration2.DepositMoneyTest","userDepositMoneyWithValidDataTest"
"","0","transferMoneywithInvalidAmountTest(String, Double, String)","","Mon Dec 01 14:28:42 UTC 2025","skipped","Mon Dec 01 14:28:42 UTC 2025","","API.iteration2.TransferMoneyTest","API.iteration2.TransferMoneyTest","transferMoneywithInvalidAmountTest"
"","1038","adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) adminCantCreateUserWithInvalidDataTest(String, String, String, String, String, List) blank username","","Mon Dec 01 14:28:40 UTC 2025","passed","Mon Dec 01 14:28:41 UTC 2025","","API.iteration1.CreateUserTest","API.iteration1.CreateUserTest","adminCantCreateUserWithInvalidDataTest"
